ClientID,Name,District,State,Client UID,id
ZW090D0D,Mpilo Central Hospital,Bulawayo,Bulawayo,67237ea8d7634ec5b3719e11a16d0487,client-1
ZW090A13,Pumula Old Clinic,Emakhandeni,Bulawayo,c1f730ffe9d0424290e1c3f33a22af69,client-10
ZW08050A,Masvingo Provincial Hospital,Masvingo,Masvingo,a46bb0ccfd4241f79559036036731bea,client-100
ZW030201,Bosha Rural Health Centre,Goromonzi,Mashonaland East,1375c05113a249de92d578e141e527a8,client-1000
ZW030192,Mwerahari Clinic,Chikomba,Mashonaland East,555d903c9ada4976b33444b68d7474b0,client-1001
ZW030191,Daramombe Clinic,Chikomba,Mashonaland East,b9865d87514240f49a432b6fa6525511,client-1002
ZW030149,Wiltshire Clinic,Chikomba,Mashonaland East,a5abc25765664805b6b9f1d9970910ef,client-1003
ZW030148,Mutoro Clinic,Chikomba,Mashonaland East,584c6f0dfde24539a2f91728c0bf4165,client-1004
ZW030147,Lancashire Clinic,Chikomba,Mashonaland East,39440490c087432f84a13c01e64566d8,client-1005
ZW030146,Gandami Clinic,Chikomba,Mashonaland East,a26545fb0afb4782af9b113ce272678d,client-1006
ZW030145,Chivhu Clinic,Chikomba,Mashonaland East,dd58921a2e2949eca4ce5a4185803300,client-1007
ZW030137,Wazvaramhaka Clinic,Chikomba,Mashonaland East,a04e02d49637444da8ff7c7d2cc52ef2,client-1008
ZW030136,Unyetu Clinic,Chikomba,Mashonaland East,7e220b2edd854ecc89765a41fccf0d16,client-1009
ZW080507,Nyikavanhu Rural Health Centre,Masvingo,Masvingo,4c61ba6b00d644d7b42708fc5b370db8,client-101
ZW030135,Shumba Clinic,Chikomba,Mashonaland East,4bfd1d3fbad74769a20c9c17fa5865ef,client-1010
ZW030134,Rutanhira Clinic,Chikomba,Mashonaland East,630ede5155754d22ba4507d29690ff3f,client-1011
ZW030133,Pokoteke Clinic,Chikomba,Mashonaland East,41f86d9f5a264293bcce381b3564fc03,client-1012
ZW030132,Nhangabwe Clinic,Chikomba,Mashonaland East,347ab677515446ab9a9436614d888812,client-1013
ZW030131,Mushipe Clinic,Chikomba,Mashonaland East,a5e4b5c9d96f4799a7bd33428ea0dd83,client-1014
ZW030130,Mbiru Clinic,Chikomba,Mashonaland East,8183c0b50eab41d2b69a4e0f68bd81e4,client-1015
ZW030129,Masasa Clinic,Chikomba,Mashonaland East,aa5d7c6677074d3a89b0911ddaead3d3,client-1016
ZW030128,Manyene Clinic,Chikomba,Mashonaland East,2ed4f1996c6f4e1d9682fdecf18796ef,client-1017
ZW030127,Madamombe Clinic,Chikomba,Mashonaland East,982c40b384204ef5b2f64c4be88cbcb1,client-1018
ZW030126,Gokomere Clinic,Chikomba,Mashonaland East,f06e5a374ffa40f5828e93b26b07506c,client-1019
ZW080506,Nemamwa Rural Health Centre,Masvingo,Masvingo,c0a331bc40d949c8ac252b327bcc5cea,client-102
ZW030125,Tavara Clinic,Chikomba,Mashonaland East,a4c7d2d1d9214cb9bb498c184c9c5aaf,client-1020
ZW03010E,Gandachibvuva Mission Hospital,Chikomba,Mashonaland East,9fc7025d3a14498dbba30f5db9d6cd11,client-1021
ZW03010D,Sadza District Hospital,Chikomba,Mashonaland East,bb014b1802154edfac87ca9fb58396a3,client-1022
ZW03010C,Range Rural Health Centre,Chikomba,Mashonaland East,15e71d17235d4ba1b25e99b4bd7b1179,client-1023
ZW03010B,Nharira Rural Hospital,Chikomba,Mashonaland East,b11f3ab98474432d877073f2d318eaa6,client-1024
ZW03010A,Chivhu General Hospital,Chikomba,Mashonaland East,d8d15ad51a1143d8910026c2e3320471,client-1025
ZW030107,Musumha Rural Health Centre,Chikomba,Mashonaland East,c17b3e54422e41d5a3d671d75c781e30,client-1026
ZW030106,ZPS Clinic,Chikomba,Mashonaland East,cdf8ce0b1c2742249957984b825870fd,client-1027
ZW030105,Chivhu ZRP Camp Clinic,Chikomba,Mashonaland East,7d4c5fb221644b7992f669707ede47a7,client-1028
ZW030104,Zvamatobwe Rural Health Centre,Chikomba,Mashonaland East,9b2d535cae1b45c880160e8583ea16f3,client-1029
ZW080505,Masvingo Remand ZPS Clinic,Masvingo,Masvingo,2b893d68d3674efe8cab2d140fa7f355,client-103
ZW030103,Nyamhere Rural Health Centre,Chikomba,Mashonaland East,fdfc150bf0ce466f9ed0ddb2d712254b,client-1030
ZW030102,Murezi Rural Health Centre,Chikomba,Mashonaland East,e8cdac60c59d4714b16e5cbe2b3a411b,client-1031
ZW030101,Mufudziwakanaka Rural Health Centre,Chikomba,Mashonaland East,0a11c362646444779cc38b172941a99e,client-1032
ZW020841,Chidodo Clinic,Mbire,Mashonaland Central,696fd2f8bb1544ada0dbe52b29927846,client-1033
